,Dates,Current Level
290,Feb-18,4.513507708487952
291,Mar-18,4.513507708487952
292,Apr-18,4.513507708487952
293,May-18,7.058501124
294,Jun-18,4.513507708487952
295,Jul-18,4.988190428
296,Aug-18,1.918106178
297,Sep-18,4.513507708487952
298,Oct-18,3.807451105
299,Nov-18,4.122922905
300,Dec-18,4.017342861
301,Jan-19,4.772246455
302,Feb-19,4.513507708487952
303,Mar-19,4.513507708487952
304,Apr-19,4.513507708487952
305,May-19,6.795454163
306,Jun-19,4.513507708487952
307,Jul-19,3.513799193
308,Aug-19,3.015237574
309,Sep-19,1.856542633
310,Oct-19,4.513507708487952
311,Nov-19,3.055539388
312,Dec-19,2.867087069
313,Jan-20,3.233698265
314,Feb-20,4.513507708487952
315,Mar-20,4.513507708487952
316,Apr-20,4.513507708487952
317,May-20,4.513507708487952
318,Jun-20,4.513507708487952
319,Jul-20,4.513507708487952
320,Aug-20,4.513507708487952
321,Sep-20,4.513507708487952
322,Oct-20,4.513507708487952
323,Nov-20,4.513507708487952
324,Dec-20,4.513507708487952
325,Jan-21,4.513507708487952
326,Feb-21,4.513507708487952
