Epochs,Activation Function,Number of LSTM Units,Number of Hidden Layers,Dropout Rate,MSE,RMSE,MAE,R2
3000,relu,128,1,0.2,0.888219135,0.942453784,0.764993849,0.767434857
3500,relu,128,1,0.2,0.808324055,0.899068437,0.739667673,0.788354031
3600,relu,128,1,0.2,0.884328314,0.940387322,0.767213075,0.768453603
3700,relu,128,1,0.2,0.850436509,0.922191146,0.761255408,0.777327598
3800,relu,128,1,0.2,0.975517142,0.987682713,0.804297669,0.744577352
3900,relu,128,1,0.2,0.847139409,0.920401765,0.752569842,0.778190888
4000,relu,128,1,0.2,0.906250029,0.951971654,0.778758562,0.762713773
4100,relu,128,1,0.2,0.897279553,0.947248412,0.778174281,0.76506254
4200,relu,128,1,0.2,0.901328152,0.949383037,0.77055795,0.764002483
4300,relu,128,1,0.2,0.906500474,0.952103184,0.773657511,0.762648198
4400,relu,128,1,0.2,0.917006427,0.957604525,0.768478093,0.759897392
4500,relu,128,1,0.2,0.840024175,0.916528327,0.763588669,0.780053892
4600,relu,128,1,0.2,0.892113209,0.944517448,0.777803216,0.76641526
4700,relu,128,1,0.2,0.838492444,0.91569233,0.744792518,0.780454949
4800,relu,128,1,0.2,0.885459253,0.940988445,0.764427225,0.768157486
4900,relu,128,1,0.2,1.281937285,1.132226693,0.88069236,0.664346425
5000,relu,128,1,0.2,0.871736022,0.933668047,0.767911441,0.771750681
5500,relu,128,1,0.2,0.941252383,0.970181624,0.799454974,0.753548999
6000,relu,128,1,0.2,0.890686768,0.943762029,0.765897823,0.766788749
6500,relu,128,1,0.2,0.852609092,0.92336834,0.747374799,0.776758744
7000,relu,128,1,0.2,0.839473311,0.916227761,0.743086977,0.780198126
50,relu,256,1,0.2,0.890499925,0.943663036,0.756520903,0.766837671
100,relu,256,1,0.2,0.879537412,0.937836559,0.762249928,0.769708019
150,relu,256,1,0.2,0.870811838,0.933172995,0.776247408,0.771992663
200,relu,256,1,0.2,0.877197564,0.936588257,0.761606627,0.770320669
250,relu,256,1,0.2,0.922994212,0.960725878,0.780406614,0.758329592
300,relu,256,1,0.2,0.931151357,0.964961842,0.777025127,0.756193782
350,relu,256,1,0.2,0.883072323,0.939719279,0.755823774,0.768782463
400,relu,256,1,0.2,0.873034093,0.934362934,0.757654958,0.771410803
450,relu,256,1,0.2,0.881468524,0.938865552,0.764104146,0.76920239
500,relu,256,1,0.2,0.852155997,0.923122959,0.750818913,0.776877379
550,relu,256,1,0.2,0.93493755,0.966921688,0.792616945,0.755202431
600,relu,256,1,0.2,0.853894346,0.924064038,0.757901617,0.776422222
650,relu,256,1,0.2,0.87883073,0.937459722,0.76764871,0.769893052
700,relu,256,1,0.2,0.864744145,0.929916203,0.753540617,0.773581386
750,relu,256,1,0.2,0.878370229,0.937214079,0.762631519,0.770013626
800,relu,256,1,0.2,0.856670655,0.925565046,0.753241231,0.775695293
850,relu,256,1,0.2,0.928127238,0.963393605,0.795175778,0.756985596
900,relu,256,1,0.2,0.892037395,0.944477313,0.76266039,0.76643511
950,relu,256,1,0.2,0.943483448,0.971330761,0.783824207,0.752964832
1000,relu,256,1,0.2,0.839085481,0.916016092,0.755908588,0.780299673
1100,relu,256,1,0.2,0.861240589,0.928030489,0.751491011,0.774498733
1200,relu,256,1,0.2,0.84650731,0.920058319,0.760881202,0.778356392
1300,relu,256,1,0.2,0.869295485,0.932360169,0.754243899,0.772389695
1400,relu,256,1,0.2,0.816628225,0.903674845,0.749076936,0.786179725
1500,relu,256,1,0.2,0.867445666,0.931367632,0.770976704,0.772874038
1600,relu,256,1,0.2,0.866376179,0.930793306,0.754791049,0.773154065
1700,relu,256,1,0.2,0.919270934,0.958786177,0.784480959,0.759304469
1800,relu,256,1,0.2,0.905111212,0.95137333,0.770023601,0.763011953
1900,relu,256,1,0.2,0.874689991,0.935248625,0.768105013,0.770977235
2000,relu,256,1,0.2,0.918974299,0.958631472,0.777444398,0.759382138
2100,relu,256,1,0.2,0.872086807,0.933855881,0.749486775,0.771658834
2200,relu,256,1,0.2,0.826756637,0.909261589,0.733638535,0.783527772
2300,relu,256,1,0.2,0.874450521,0.935120592,0.764288008,0.771039936
2400,relu,256,1,0.2,0.935297048,0.967107568,0.794170036,0.755108303
2500,relu,256,1,0.2,0.880728465,0.938471345,0.756691567,0.769396162
2600,relu,256,1,0.2,0.890223218,0.943516411,0.776885244,0.766910122
2700,relu,256,1,0.2,1.012518009,1.006239538,0.803744332,0.734889301
2800,relu,256,1,0.2,0.865874455,0.930523753,0.758039654,0.773285433
2900,relu,256,1,0.2,0.85032251,0.922129335,0.750970898,0.777357447
3000,relu,256,1,0.2,0.868469778,0.931917259,0.757258304,0.772605892
3500,relu,256,1,0.2,0.898020219,0.947639287,0.774084313,0.764868609
3600,relu,256,1,0.2,0.9557873,0.977643749,0.79394647,0.749743277
3700,relu,256,1,0.2,0.903367169,0.950456295,0.766116792,0.763468601
